ColonyA	ColonyB	ColonyC
13.71325857	7.150602454	17.56776917
16.12372008	20.84014401	10.72267268
8.680413267	23.34534998	8.690021031
5.71166532	39.32030432	8.517530153
10.26498035	8.664058489	28.77428473
11.06281707	20.34725467	27.15746274
6.453657755	12.51568069	5.908415827
11.88238974	13.29448152	8.816073501
9.451569973	18.45899817	25.6749643
12.12503388	29.82638717	14.38351494
12.89992411	9.788414377	11.01690185
14.96365921	40.88305928	19.20023133
10.91041312	36.00292366	17.95242075
12.35335069	26.06495638	16.65540001
14.39196572	18.59532468	0.929508795
9.289039312	30.29663585	16.04617671
8.406955821	6.473797871	22.71447577
9.758374801	28.95914258	26.91695486
8.842064845	32.75261409	21.31806526
11.69886256	23.63262366	11.81879071
